chnm	casn	gene_name	assay_name	assay_format_type	assay_source_name	organism	logc	resp	idx
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	-1.096910013	0.066475782	201
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	-0.522878745	-0.003636132	202
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	-0.096910013	0.054301384	203
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	0.301029996	-0.009915469	204
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	0.84509804	-0.003398576	205
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	1.301029996	-0.060915687	206
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	1.77815125	-0.068728049	207
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	2.301029996	0.058854298	208
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	-1.096910013	0.066475782	209
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	-0.522878745	-0.003636132	210
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	-0.096910013	0.054301384	211
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	0.301029996	-0.009915469	212
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	0.84509804	-0.003398576	213
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	1.301029996	-0.060915687	214
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	1.77815125	-0.068728049	215
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	2.301029996	0.058854298	216
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	-1.096910013	-0.047566971	347
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	-0.522878745	-0.142074644	348
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	-0.096910013	0.024437113	349
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	0.301029996	-0.038422911	350
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	0.84509804	0.085693163	351
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	1.301029996	0.05478358	352
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	1.77815125	0.068473546	353
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	2.301029996	-0.00376683	354
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	-1.096910013	-0.047566971	355
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	-0.522878745	-0.142074644	356
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	-0.096910013	0.024437113	357
17-Methyltestosterone	58-18-4	GATA binding protein 1 (globin transcription factor 1)	ATG_CIS	cell-based	ATG	human	0.301029996	-0.038422911	358
