chnm	casn	gene_name	assay_name	assay_format_type	assay_source_name	organism	logc	resp	idx
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	0.301029996	3.185002883	82074
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-0.096910013	3.390365057	82075
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-0.522878745	3.041806245	82076
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-1.096910013	2.937475506	82077
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	1.301029996	2.848170407	82078
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	0.84509804	3.267785734	82079
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	1.77815125	2.965951918	82080
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	2.301029996	2.564169805	82081
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	0.301029996	3.185002883	82082
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-0.096910013	3.390365057	82083
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-0.522878745	3.041806245	82084
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-1.096910013	2.937475506	82085
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	1.301029996	2.848170407	82086
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	0.84509804	3.267785734	82087
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	1.77815125	2.965951918	82088
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	2.301029996	2.564169805	82089
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-1.096910013	2.674358724	82218
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-0.522878745	2.699003077	82219
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-0.096910013	2.6475358	82220
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	2.301029996	2.189237692	82221
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	1.77815125	2.400440618	82222
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	1.301029996	2.366634012	82223
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	0.84509804	2.560236961	82224
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	0.301029996	2.605874217	82225
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-1.096910013	2.674358724	82226
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-0.522878745	2.699003077	82227
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-0.096910013	2.6475358	82228
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	2.301029996	2.189237692	82229
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	1.77815125	2.400440618	82230
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	1.301029996	2.366634012	82231
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	0.84509804	2.560236961	82232
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	0.301029996	2.605874217	82233
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-0.522878745	4.111752955	82363
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-1.096910013	4.247927513	82364
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-0.096910013	4.225312091	82365
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	0.301029996	4.15264701	82366
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	0.84509804	3.365735315	82367
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	1.301029996	3.342486704	82368
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	1.77815125	3.038790033	82369
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	2.301029996	3.042907154	82370
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-0.522878745	4.111752955	82371
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-1.096910013	4.247927513	82372
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-0.096910013	4.225312091	82373
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	0.301029996	4.15264701	82374
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	0.84509804	3.365735315	82375
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	1.301029996	3.342486704	82376
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	1.77815125	3.038790033	82377
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	2.301029996	3.042907154	82378
17-Methyltestosterone	58-18-4	estrogen receptor 1	ATG_CIS	cell-based	ATG	human	-1.096910013	3.232195008	82862
