ATG_CIS	ATG_TRANS	NVS_NR_hER	OT_ER_ERaERa_0480	OT_ER_ERaERa_1440	OT_ER_ERaERb_0480	OT_ER_ERaERb_1440	OT_ER_ERbERb_0480	OT_ER_ERbERb_1440	TOX21_ERa_BLA_Agonist
3.732135687	4.54409058	89.20406355	14.6974564	1.118340201	117.459211	21.59491079	30.4619168	22.48166005	95.41331991
3.723883783	4.487427955	89.79218406	18.62657332	4.484922758	115.9626976	24.83168596	33.97231457	24.83058467	96.1460751
3.715636449	4.430727068	90.37791675	22.55437375	7.848795996	114.4872981	28.07797133	37.48372432	27.18417048	96.8734949
3.707398255	4.373949658	90.95887383	26.4795412	11.20725059	113.0541265	31.3432771	40.99715806	29.54707868	97.59024393
3.69917377	4.317057464	91.53266746	30.40075919	14.55757723	111.6842969	34.63711348	44.51362777	31.92397045	98.2921226
3.690967564	4.260012225	92.09690986	34.31671122	17.89706659	110.3989233	37.96899067	48.03414545	34.31950701	98.97959052
3.682784206	4.202775677	92.64959791	38.22608008	21.22300935	109.2191195	41.34841887	51.55970733	36.73834953	99.65430183
3.674628268	4.145309562	93.191367	42.12725524	24.5326962	108.1659997	44.78490828	55.08488303	39.18515922	100.3179107
3.666503201	4.087607199	93.72395944	46.01788337	27.82344317	107.2606777	48.28789612	58.58796785	41.66459727	100.9721425
3.658396308	4.030118658	94.24910993	49.89549532	31.09749353	106.5242676	51.85264659	62.04471996	44.18132487	101.6189957
3.650282739	3.973637679	94.76811518	53.75762196	34.36786983	105.9778834	55.44341724	65.43089756	46.74000321	102.2605341
3.642137345	3.918966402	95.28170587	57.60179416	37.6490206	105.6426389	59.02036392	68.72225883	49.3452935	102.8982213
3.63393498	3.866906964	95.79057515	61.42554278	40.95539434	105.5394014	62.5436425	71.89456196	52.00172985	103.5311654
3.625650496	3.818261501	96.29541616	65.22543939	44.30143956	105.6714662	65.97340885	74.92546341	54.70480337	104.1578967
3.617258746	3.773832152	96.7968827	68.98970625	47.70160476	106.0131763	69.26981883	77.8091416	57.43510521	104.7816753
3.608728264	3.734358698	97.2894663	72.70226658	51.17033845	106.5361722	72.3930283	80.54828202	60.17183571	105.4243792
3.599963194	3.699945373	97.75485021	76.3470081	54.72208914	107.2120943	75.30319314	83.14564046	62.89419521	106.0552184
3.590830065	3.670325174	98.17312166	79.9078185	58.36865014	108.0125832	77.96437818	85.60397272	65.58138403	106.5280942
3.581194933	3.645226439	98.52851957	83.36858549	62.09094809	108.9092793	80.38608992	87.92603458	68.21260251	106.7589258
3.570923857	3.624377505	98.83558422	86.71575166	65.84999564	109.8738231	82.60715211	90.11500333	70.76705099	106.8807505
3.559882893	3.607506711	99.12209226	89.94935841	69.60647355	110.8778551	84.66687713	92.17629969	73.2239298	106.9514655
3.547938099	3.594342396	99.38144261	93.0739537	73.32106258	111.8930158	86.60457732	94.11608783	75.56243928	107.0016688
3.534955533	3.584612896	99.5421537	96.09408843	76.95444349	112.8909456	88.45956506	95.94053243	77.76177976	107.0241951
3.520801251	3.578046552	99.61228641	99.01431348	80.46729704	113.843285	90.27115269	97.65579816	79.80115159	107.0027886
3.505341919	3.574370284	99.65218314	101.8391798	83.82030397	114.7216746	92.0786526	99.26804967	81.65975508	106.9211935
3.48850895	3.57315988	99.72030011	104.5734446	86.98000838	115.4983385	93.91590612	100.7833425	83.3175278	106.7634181
3.470355081	3.573707947	99.8256492	107.2266143	89.94733301	116.1589278	95.78467615	102.2052218	84.77136312	106.5472613
3.450946392	3.575275954	99.94266162	109.812944	92.73569164	116.7025205	97.67507029	103.5347226	86.03511027	106.3571675
3.430348959	3.577125371	100.0666992	112.3468952	95.35851577	117.1287781	99.57717963	104.7727705	87.1233557	106.2836153
3.408628859	3.578517666	100.1959134	114.8429295	97.82923691	117.4373623	101.4810952	105.9202913	88.05068584	106.1973219
3.385852171	3.578714308	100.325593	117.3155085	100.1612866	117.459211	103.3769082	106.9782108	88.83168712	105.9332575
3.362084973	3.576976768	100.4489233	119.7784137	102.3680962	117.459211	105.2547096	107.9467346	89.48094599	105.6149897
3.337393687	3.572574835	100.5590407	122.2371856	104.4630974	117.459211	107.1045905	108.8173412	90.01304889	105.2282694
3.311862951	3.56521705	100.6493774	124.6918831	106.4597225	117.459211	108.9167458	109.5757052	90.44258224	104.723449
3.28560428	3.555259298	100.7197	127.1424664	108.371459	117.2033408	110.6875973	110.2073958	90.7841325	104.0777741
3.258731348	3.543109499	100.7758616	129.5888957	110.2118799	116.7987795	112.4232184	110.6979828	91.0522861	103.3724247
3.231357827	3.529175568	100.8239617	132.0311309	111.9945654	116.2741764	114.1305131	111.0330355	91.26162948	102.6775687
3.203597391	3.513865424	100.8700996	134.4691394	113.7330957	115.6300576	115.8163851	111.1982505	91.29586649	101.9930811
3.175563715	3.497586984	100.9192776	136.9037438	115.4410512	114.8731261	117.4877381	111.1946996	91.29586649	101.3107793
3.147370472	3.480748166	100.9723602	139.3374283	117.1320121	114.012773	119.1514761	111.0533153	91.29586649	100.6232605
3.119131336	3.463756888	101.0292364	141.7728679	118.8195585	113.0584001	120.8145027	110.808461	91.29586649	99.93311985
3.090959981	3.447021067	101.0897951	144.2127379	120.5168632	112.0194095	122.4835114	110.4945001	91.29586649	99.24147557
3.062952691	3.430886023	101.1537254	146.6597133	122.2292869	110.9052031	124.1611639	110.145796	91.29586649	98.54665738
3.035114864	3.415369915	101.2196908	149.1164198	123.9551592	109.7251829	125.846493	109.7962961	91.29586649	97.84699503
3.007422305	3.400384374	101.2860268	151.5836222	125.6925589	108.4887509	127.5384019	109.4642699	91.29586649	97.14084726
2.979850803	3.385840972	101.3510686	154.0597013	127.4395648	107.205309	129.2357941	109.1479005	91.29586649	96.42668299
2.952376146	3.371651281	101.4131867	156.5428817	129.1942556	105.8842592	130.937573	108.8440567	91.29586649	95.70298649
2.924974124	3.357726873	101.4719567	159.0313881	130.9547101	104.5350034	132.6426417	108.549607	91.29586649	94.96911235
2.897620524	3.343979321	101.5284342	161.5234451	132.7190071	103.1669438	134.3499038	108.26142	91.29586649	94.2278883
2.870291135	3.330320196	101.5837655	164.0172775	134.4852253	101.7894821	135.0549984	107.9763644	91.29127079	93.48298929
